mechanic,replicate,final_population_size
MK+ER,134,20000
MK+ER,135,20000
MK+ER,136,20000
MK+ER,137,19995
MK+ER,138,20000
MK+ER,139,20000
MK+ER,140,20000
MK+ER,141,20000
MK+ER,142,20000
MK+ER,143,20000
MK+ER,144,20000
MK+ER,145,20000
MK+ER,146,20000
MK+ER,147,20000
MK+ER,148,20000
MK+ER,149,20000
MK+ER,150,20000
MK+ER,151,20000
MK+ER,152,20000
MK+ER,153,20000
MK+ER,154,20000
MK+ER,155,20000
MK+ER,156,20000
MK+ER,157,20000
MK+ER,158,20000
MK+ER,159,20000
MK+ER,160,20000
MK+ER,161,20000
MK+ER,162,19999
MK+ER,163,20000
MK+ER,164,20000
MK+ER,165,19997
MK+ER,166,19998
MK+ER,167,19998
MK+ER,168,19998
MK+ER,169,20000
MK+ER,170,19999
MK+ER,171,19998
MK+ER,172,20000
MK+ER,173,20000
MK+ER,174,19999
MK+ER,175,20000
MK+ER,176,20000
MK+ER,177,19999
MK+ER,178,19998
MK+ER,179,20000
MK+ER,180,20000
MK+ER,181,20000
MK+ER,182,19997
MK+ER,183,20000
MK+ER,184,19999
MK+ER,185,20000
MK+ER,186,20000
MK+ER,187,19999
MK+ER,188,19997
MK+ER,189,20000
MK+ER,190,20000
MK+ER,191,20000
MK+ER,192,20000
MK+ER,193,19999
MK+ER,194,20000
MK+ER,195,19997
MK+ER,196,20000
MK+ER,197,20000
MK+ER,198,20000
MK+ER,199,19999
MK+ER+IE,0,20000
MK+ER+IE,1,20000
MK+ER+IE,2,20000
MK+ER+IE,3,20000
MK+ER+IE,4,19999
MK+ER+IE,5,20000
MK+ER+IE,6,20000
MK+ER+IE,7,19992
MK+ER+IE,8,20000
MK+ER+IE,9,19999
MK+ER+IE,10,20000
MK+ER+IE,11,20000
MK+ER+IE,12,20000
MK+ER+IE,13,19999
MK+ER+IE,14,20000
MK+ER+IE,15,20000
MK+ER+IE,16,20000
MK+ER+IE,17,19998
MK+ER+IE,18,20000
MK+ER+IE,19,20000
MK+ER+IE,20,20000
MK+ER+IE,21,20000
MK+ER+IE,22,20000
MK+ER+IE,23,19999
MK+ER+IE,24,20000
MK+ER+IE,25,20000
MK+ER+IE,26,19999
MK+ER+IE,27,20000
MK+ER+IE,28,20000
MK+ER+IE,29,20000
MK+ER+IE,30,20000
MK+ER+IE,31,20000
MK+ER+IE,32,20000
MK+ER+IE,33,20000
MK+ER+IE,34,20000
MK+ER+IE,35,20000
MK+ER+IE,36,20000
MK+ER+IE,37,20000
MK+ER+IE,38,20000
MK+ER+IE,39,20000
MK+ER+IE,40,20000
MK+ER+IE,41,20000
MK+ER+IE,42,19997
MK+ER+IE,43,20000
MK+ER+IE,44,20000
MK+ER+IE,45,20000
MK+ER+IE,46,20000
MK+ER+IE,47,20000
MK+ER+IE,48,20000
MK+ER+IE,49,20000
MK+ER+IE,50,19999
MK+ER+IE,51,20000
MK+ER+IE,52,20000
MK+ER+IE,53,20000
MK+ER+IE,54,20000
MK+ER+IE,55,20000
MK+ER+IE,56,20000
MK+ER+IE,57,20000
MK+ER+IE,58,20000
MK+ER+IE,59,20000
MK+ER+IE,60,20000
MK+ER+IE,61,20000
MK+ER+IE,62,20000
MK+ER+IE,63,19997
MK+ER+IE,64,20000
MK+ER+IE,65,20000
MK+ER+IE,66,19999
MK+ER+IE,67,20000
MK+ER+IE,68,20000
MK+ER+IE,69,20000
MK+ER+IE,70,20000
MK+ER+IE,71,20000
MK+ER+IE,72,20000
MK+ER+IE,73,20000
MK+ER+IE,74,20000
MK+ER+IE,75,20000
MK+ER+IE,76,20000
MK+ER+IE,77,19999
