genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-INT,F,15,c-start,08-2019,1.7010329282400083,1.622010008438102,3.3487732083605097
rei-INT,F,1,c-start,08-2019,2.3803972222107657,2.5418812990044897,5.2113059855454695
rei-INT,F,10,c-start,08-2019,1.8322460604728419,1.8716477675007321,3.5217018904759807
rei-INT,F,13,c-start,08-2019,1.775390009418699,2.061119195497858,4.12443329743144
rei-INT,F,14,c-start,08-2019,1.8421014616778826,2.007448821111283,3.7570982363590746
rei-INT,F,30,c-start,08-2019,2.006452892947167,2.108289526105296,4.9611159058158405
rei-INT,F,24,c-start,08-2019,2.2596023181164533,2.3201944458640105,3.758894948242488
rei-INT,F,28,c-start,08-2019,1.8370804357345052,2.113680773613185,4.110427123271139
rei-INT,F,25,c-start,08-2019,2.4514999715677304,2.560715717557494,4.674190007404809
rei-INT,F,90,c-start,08-2019,1.788754411820054,2.0063843659497596,4.27933313011974
rei-INT,F,60,c-start,08-2019,2.3259891952088125,2.360317273885401,5.733805199113498
rei-INT,F,5,c-start,08-2019,1.9894424829920805,2.1666530351724727,4.970918732029634
rei-INT,F,11,c-start,08-2019,2.0049725980095454,2.4862706931309444,4.648153356692937
rei-INT,F,70,c-start,08-2019,2.321102594201389,2.4100928064548572,5.553235927940458
rei-INT,F,40,c-start,08-2019,2.2923821192213167,2.3021267237531475,4.105419804267114
rei-INT,F,8,c-start,08-2019,1.7192587021426333,1.7275032456990806,3.1532889361280914
rei-INT,F,35,c-start,08-2019,1.862790808918346,1.986768438728017,3.0760457820087126
rei-INT,F,29,c-start,08-2019,1.806936742936927,1.9850326475933595,4.286758669831565
rei-INT,F,22,c-start,08-2019,1.7797633656692464,1.661613670464846,3.028598003214352
rei-INT,F,32,c-start,08-2019,2.049583368261552,2.2634305206712155,4.694229989838549
rei-INT,F,23,c-start,08-2019,2.0384928181304725,2.3338844335517934,4.750222549424221
rei-INT,F,16,c-start,08-2019,1.5393430125982297,1.5368878989454764,3.2522984411905904
rei-INT,F,12,c-start,08-2019,1.9440027476749855,2.1798841284565795,5.388609679362139
rei-INT,F,6,c-start,08-2019,1.9931199502215429,2.275266865059225,4.898677525970699
rei-INT,F,9,c-start,08-2019,2.1159105256011332,2.208224741076721,4.4480411117809675
rei-INT,F,50,c-start,08-2019,1.7274048305730043,1.7503863536866109,3.2353601721512013
rei-INT,F,27,c-start,08-2019,2.881298915178295,2.755687859889429,5.18806387838249
rei-INT,F,19,c-start,08-2019,1.828206658117825,2.021009450680428,3.9522649609391234
rei-INT,F,31,c-start,08-2019,2.09693123023921,2.1819017911721548,5.360941731109875
rei-INT,F,4,c-start,08-2019,2.1689196461599627,2.2998084109986747,3.9018306397869913
rei-INT,F,21,c-start,08-2019,2.385043602036043,2.472271865122215,5.456445946333414
rei-INT,F,80,c-start,08-2019,2.5140531672969697,2.5579572758337856,5.064113232675891
rei-INT,F,17,c-start,08-2019,2.13790502902045,2.343060049279139,4.144638746412456
rei-INT,F,20,c-start,08-2019,2.560359666626299,2.518409839616664,4.72880818685947
rei-INT,F,36,c-start,08-2019,1.8427528970546099,2.05661472681269,4.547924238190217
sufge1-HT,M,37,c-start,08-2019,2.060675743398352,2.225982662979124,4.717929804710257
sufge1-HT,M,42,c-start,08-2019,1.9093760772120807,2.0626317486076506,6.423549861766524
sufge1-HT,M,6,c-start,08-2019,2.391250818365431,2.5214999423298363,5.238737455139323
sufge1-HT,M,5,c-start,08-2019,2.659011998945842,2.573092435306517,5.006601439841292
sufge1-HT,M,22,c-start,08-2019,2.794065340605509,2.651396805295138,4.97522291297931
sufge1-HT,M,31,c-start,08-2019,2.2014598933446923,2.2750713296445273,4.261150399944962
sufge1-HT,M,44,c-start,08-2019,1.5301962874336539,1.6047948584234342,3.0752198069931214
sufge1-HT,M,13,c-start,08-2019,1.780915166731126,1.6883289352006845,2.6341316752757145
sufge1-HT,M,1,c-start,08-2019,1.7671014878874725,1.8948009488049387,3.3103485966940984
sufge1-HT,M,35,c-start,08-2019,1.9047279047199284,2.1314344639616767,5.109266414505315
sufge1-HT,M,4,c-start,08-2019,1.871835973647943,2.013460686270932,3.0412545250861247
sufge1-HT,M,2,c-start,08-2019,1.8119113486945453,2.015307235001196,4.2308301574466185
sufge1-HT,M,30,c-start,08-2019,2.0092567705866595,2.111445632504352,4.726250121450836
sufge1-HT,M,17,c-start,08-2019,1.892795770240745,2.1781462662136617,4.363134500376003
sufge1-HT,M,12,c-start,08-2019,2.4290360925568995,2.471640381539599,5.080257243150858
sufge1-HT,M,41,c-start,08-2019,2.3886306374514987,2.586515631915004,5.276994587029149
sufge1-HT,M,7,c-start,08-2019,2.3082533318505716,2.372297085196225,5.04311374948836
sufge1-HT,M,14,c-start,08-2019,2.264071216652302,2.4851223454669547,5.0844281781958
sufge1-HT,M,8,c-start,08-2019,2.0646650948896177,2.001838336927877,4.174605186687087
sufge1-HT,M,43,c-start,08-2019,2.417763591065558,2.508028136139337,5.074465648009124
sufge1-HT,M,36,c-start,08-2019,1.8456859142255415,2.0228322612068763,4.16827599473478
sufge1-HT,M,19,c-start,08-2019,2.0910130958724453,2.356641825350887,4.332926215248948
sufge1-HT,M,27,c-start,08-2019,1.6773659222103938,1.6564684815637134,3.51055426461396
sufge1-HT,M,28,c-start,08-2019,1.9424699130993774,2.097472388171073,4.755738569663527
