genotype,sex,animalNo,expType,birthDate,median_curv_amp,mean_curv_amp,max_curv_amp
rei-HT,F,43,counter current,11-2018,1.5210128860479013,1.6503729597869259,3.6112817009773086
rei-HT,F,48,counter current,11-2018,1.0968248959229305,1.230352678745141,3.044074690483612
rei-HT,F,36,counter current,11-2018,1.449455040652045,1.5760759825010944,3.199651126925918
rei-HT,F,90,counter current,11-2018,1.2662168839135493,1.421117265115806,3.3979264697814546
rei-HT,F,52,counter current,11-2018,1.4728794887932688,1.6455732052196725,3.7317466934932586
rei-HT,F,60,counter current,11-2018,0.9915035966175053,1.1914189046235522,3.382949023102662
rei-HT,F,14,counter current,11-2018,1.2739256325187993,1.4638167180718746,3.764490282075757
rei-HT,F,39,counter current,11-2018,1.5678082661166104,1.6904442511824735,4.359128905398315
rei-HT,F,81,counter current,11-2018,1.1125760143328423,1.2841155220678027,3.2512646443462936
rei-HT,F,49,counter current,11-2018,1.2132147189197173,1.4349733329963332,3.575869395555757
rei-HT,F,35,counter current,11-2018,1.1844521191236623,1.3913776640490856,3.359490242681138
rei-HT,F,44,counter current,11-2018,1.1148193278009417,1.2904458878201872,3.2902038321104494
rei-HT,F,41,counter current,11-2018,1.4158253190408434,1.535413264054451,3.4787544308505622
rei-HT,F,45,counter current,11-2018,1.325182244806387,1.5610797000957377,3.9297117547930065
rei-HT,F,34,counter current,11-2018,1.5613334239420813,1.7485996173596345,3.794060610825011
rei-HT,F,71,counter current,11-2018,1.6703214642172521,1.758050270504397,3.7132566702196197
rei-HT,M,61,counter current,11-2018,1.611890958028841,1.7522731621333711,3.925032397556981
rei-HT,M,70,counter current,11-2018,1.6110696030109428,1.757323003832473,4.096092095196491
rei-HT,M,91,counter current,11-2018,1.4703470821258486,1.6427056344305406,3.904131851746162
rei-HT,M,40,counter current,11-2018,1.1956973815982592,1.3042627678792276,2.948743330738493
rei-HT,M,51,counter current,11-2018,1.3658195779260593,1.4809339451498402,4.08460454079815
