sex,stimulus_01_name,stimulus_01_amplitude,stimulus_01_amplitude_unit,preference_index,decision_duration_index,id
female,Salt,8.0,%,-1.0,-1.0,female_8.0
male,Salt,8.0,%,0.0239152173303552,0.0201240278077475,male_8.0
female,Salt,8.0,%,1.0,1.0,female_8.0
male,Salt,8.0,%,-0.9639731210119148,-0.9639731210119148,male_8.0
female,Salt,8.0,%,0.9985182578416572,0.998515907615249,female_8.0
male,Salt,8.0,%,-0.9860525071174872,-0.9878037461248584,male_8.0
female,Salt,8.0,%,0.9987000083570892,0.99867671105986,female_8.0
male,Salt,8.0,%,1.0,1.0,male_8.0
female,Salt,8.0,%,-0.9982399748038496,-0.992232533420547,female_8.0
male,Salt,8.0,%,-0.1902752469550206,-0.1894979360660459,male_8.0
female,Salt,8.0,%,-0.1518737272939103,-0.1518737272939102,female_8.0
male,Salt,8.0,%,0.5440489972737796,0.5460120405339715,male_8.0
female,Salt,8.0,%,-0.9957382703324148,-0.9956723027375202,female_8.0
male,Salt,8.0,%,-1.0,,male_8.0
female,Salt,8.0,%,0.9976752403801448,0.9976252897146548,female_8.0
male,Salt,8.0,%,-1.0,,male_8.0
female,Salt,8.0,%,0.9808931993727856,0.9808587386548756,female_8.0
male,Salt,8.0,%,-0.9701645197085926,-0.9700998926613223,male_8.0
female,Salt,8.0,%,-0.8592161428017073,-0.902912235759038,female_8.0
male,Salt,8.0,%,1.0,,male_8.0
female,Salt,8.0,%,-0.9002608891704154,-0.9004037107026284,female_8.0
male,Salt,8.0,%,-0.6356140269606707,-0.671780303030303,male_8.0
female,Salt,8.0,%,-0.8408643095928623,-0.8487637851298471,female_8.0
male,Salt,8.0,%,0.9997177931423734,0.9997161563789124,male_8.0
female,Salt,8.0,%,-0.3572685027173199,-0.3572685027173199,female_8.0
male,Salt,8.0,%,1.0,,male_8.0
female,Salt,8.0,%,0.9351417193722183,0.9351380728829918,female_8.0
male,Salt,8.0,%,-1.0,-1.0,male_8.0
female,Salt,8.0,%,0.9098143236074272,0.9170527871741664,female_8.0
male,Salt,8.0,%,-0.888524850578821,-0.8932428262881826,male_8.0
female,Salt,8.0,%,1.0,1.0,female_8.0
male,Salt,4.0,%,-0.1824065460292691,-0.182406546029269,male_4.0
female,Salt,4.0,%,-0.5022066078960781,-0.5051770406666595,female_4.0
male,Salt,4.0,%,0.3403143453802419,0.3381717573704101,male_4.0
female,Salt,4.0,%,0.3610152130202207,0.3613121721229829,female_4.0
male,Salt,4.0,%,-0.0824606196988056,-0.076867816091954,male_4.0
female,Salt,4.0,%,0.6209013742524205,0.6149274248979096,female_4.0
male,Salt,4.0,%,0.6347075096147358,0.6312024990025399,male_4.0
female,Salt,4.0,%,0.1724317347234868,0.1703980099502487,female_4.0
male,Salt,4.0,%,-0.0700105180120956,-0.0682137525248089,male_4.0
female,Salt,4.0,%,-0.0796929676035669,-0.0801684904744158,female_4.0
male,Salt,4.0,%,0.5171645215567161,0.4593986250091748,male_4.0
female,Salt,4.0,%,0.3112152137273897,0.1888791648434081,female_4.0
male,Salt,4.0,%,0.2923718665176432,0.2918772094509577,male_4.0
female,Salt,4.0,%,-0.4349736727503068,-0.4332628485769028,female_4.0
male,Salt,4.0,%,0.682934531267508,0.6553732367855798,male_4.0
female,Salt,4.0,%,-0.7036709134096308,-0.7024210948596459,female_4.0
male,Salt,4.0,%,0.2531375359643605,0.2497954194677798,male_4.0
female,Salt,4.0,%,-0.7696663103641694,-0.7961652075836511,female_4.0
male,Salt,4.0,%,0.0373857657158681,0.0443827273019719,male_4.0
female,Salt,4.0,%,-0.6054421768707484,-0.6054421768707483,female_4.0
male,Salt,4.0,%,-0.0393186255171507,-0.0392019990490353,male_4.0
female,Salt,4.0,%,-0.8975611141080606,-0.8973600364132909,female_4.0
male,Salt,4.0,%,0.3572892271662763,0.3371289317331435,male_4.0
female,Salt,4.0,%,0.7239795325037796,0.7164474797654484,female_4.0
male,Salt,4.0,%,0.4539353386782406,0.4517154068858379,male_4.0
female,Salt,4.0,%,0.1556183144089599,0.1547681285700455,female_4.0
male,Salt,4.0,%,0.0853537300411856,0.0845086153502492,male_4.0
female,Salt,4.0,%,-0.3345044774840395,-0.3499479889042995,female_4.0
male,Salt,4.0,%,0.3155070412496054,0.3010158987636606,male_4.0
female,Salt,4.0,%,0.8042580607374001,0.8010990537028587,female_4.0
male,Salt,4.0,%,0.2226419480444005,0.2324305325027826,male_4.0
female,Salt,4.0,%,-0.1054757848624969,-0.1111219827206637,female_4.0
male,Salt,4.0,%,-0.2988133978887213,-0.2986394355294888,male_4.0
female,Salt,4.0,%,0.7779815826907239,0.7820173710769692,female_4.0
