structure,compartment,time_s,p_fwer
Bouton,g3,-9.5,1.0
Bouton,g3,-9.25,1.0
Bouton,g3,-9.0,1.0
Bouton,g3,-8.75,1.0
Bouton,g3,-8.5,1.0
Bouton,g3,-8.25,1.0
Bouton,g3,-8.0,1.0
Bouton,g3,-7.75,1.0
Bouton,g3,-7.5,1.0
Bouton,g3,-7.25,1.0
Bouton,g3,-7.0,1.0
Bouton,g3,-6.75,1.0
Bouton,g3,-6.5,1.0
Bouton,g3,-6.25,1.0
Bouton,g3,-6.0,1.0
Bouton,g3,-5.75,1.0
Bouton,g3,-5.5,1.0
Bouton,g3,-5.25,1.0
Bouton,g3,-5.0,1.0
Bouton,g3,-4.75,1.0
Bouton,g3,-4.5,1.0
Bouton,g3,-4.25,1.0
Bouton,g3,-4.0,1.0
Bouton,g3,-3.75,1.0
Bouton,g3,-3.5,1.0
Bouton,g3,-3.25,1.0
Bouton,g3,-3.0,1.0
Bouton,g3,-2.75,0.5344211344211344
Bouton,g3,-2.5,1.0
Bouton,g3,-2.25,1.0
Bouton,g3,-2.0,1.0
Bouton,g3,-1.75,1.0
Bouton,g3,-1.5,1.0
Bouton,g3,-1.25,1.0
Bouton,g3,-1.0,1.0
Bouton,g3,-0.75,1.0
Bouton,g3,-0.5,1.0
Bouton,g3,-0.25,1.0
Bouton,g3,0.0,1.0
Bouton,g3,0.25,1.0
Bouton,g3,0.5,1.0
Bouton,g3,0.75,1.0
Bouton,g3,1.0,1.0
Bouton,g3,1.25,1.0
Bouton,g3,1.5,1.0
Bouton,g3,1.75,1.0
Bouton,g3,2.0,1.0
Bouton,g3,2.25,1.0
Bouton,g3,2.5,1.0
Bouton,g3,2.75,1.0
Bouton,g3,3.0,1.0
Bouton,g3,3.25,1.0
Bouton,g3,3.5,1.0
Bouton,g3,3.75,1.0
Bouton,g3,4.0,1.0
Bouton,g3,4.25,1.0
Bouton,g3,4.5,1.0
Bouton,g3,4.75,1.0
Bouton,g3,5.0,1.0
Bouton,g3,5.25,1.0
Bouton,g3,5.5,1.0
Bouton,g3,5.75,1.0
Bouton,g3,6.0,1.0
Bouton,g3,6.25,1.0
Bouton,g3,6.5,1.0
Bouton,g3,6.75,0.9439005439005439
Bouton,g3,7.0,1.0
Bouton,g3,7.25,1.0
Bouton,g3,7.5,1.0
Bouton,g3,7.75,1.0
Bouton,g3,8.0,1.0
Bouton,g3,8.25,0.14592074592074591
Bouton,g3,8.5,0.14592074592074591
Bouton,g3,8.75,0.14592074592074591
Bouton,g3,9.0,0.14592074592074591
Bouton,g3,9.25,1.0
Bouton,g3,9.5,0.7547785547785548
